,gml_id,id,metadataproperty,description_href,description_title,description_nilreason,description,descriptionreference_href,descriptionreference_title,descriptionreference_nilreason,identifier_codespace,identifier,name,location_location,godlo,akt_rok,piksel,kolor,zrodlo_danych,uklad_xy,modul_archiwizacji,nr_zglosz,akt_data_frame,akt_data_id,akt_data_metadataproperty,akt_data_description_href,akt_data_description_title,akt_data_description_nilreason,akt_data_description,akt_data_descriptionreference_href,akt_data_descriptionreference_title,akt_data_descriptionreference_nilreason,akt_data_identifier_codespace,akt_data_identifier,akt_data_name,akt_data_relatedtime,akt_data_timeposition_frame,akt_data_timeposition_calendareraname,akt_data_timeposition_indeterminateposition,akt_data_timeposition,czy_ark_wypelniony,url_do_pobrania,dt_pzgik_frame,dt_pzgik_id,dt_pzgik_metadataproperty,dt_pzgik_description_href,dt_pzgik_description_title,dt_pzgik_description_nilreason,dt_pzgik_description,dt_pzgik_descriptionreference_href,dt_pzgik_descriptionreference_title,dt_pzgik_descriptionreference_nilreason,dt_pzgik_identifier_codespace,dt_pzgik_identifier,dt_pzgik_name,dt_pzgik_relatedtime,dt_pzgik_timeposition_frame,dt_pzgik_timeposition_calendareraname,dt_pzgik_timeposition_indeterminateposition,dt_pzgik_timeposition,wlk_pliku_mb,JPT_KOD_JE,JPT_SJR_KO,JPT_NAZWA_,JPT_POWIER,JPT_ORGAN_,JPT_KOD__1,JPT_NAZWA1,JPT_ORGAN1,JPT_WAZNA_,IIP_PRZEST,IIP_IDENTY,JPT_KJ_IIP,JPT_KJ_I_1,JPT_KJ_I_2,JPT_SPS_KO,JPT_POWI_1,JPT_KJ_I_3,JPT_JOR_ID,WERSJA_OD,WERSJA_DO,WAZNY_OD,WAZNY_DO,IIP_WERSJA,JPT_OPIS,JPT_ID,SHAPE_LENG,SHAPE_LE_1,SHAPE_AREA,layer,path
0,ggs19.6,SkorowidzOrtofomapy2019.900962,,,,,,,,,,,,,N-34-50-C-d-1-3,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900962.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900962_N-34-50-C-d-1-3.tif,,SkorowidzOrtofomapy2019.900962.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,36,226101_1,JEW,Gdańsk - gmina miejska,68295.0,,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,0.0,,13136.0,2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,2763400.0,2.00162354083,2.00162353976,0.09450928201,ggs19wew,C:/Users/admin/Downloads/ggs19wew.gml
1,ggs19.7,SkorowidzOrtofomapy2019.900969,,,,,,,,,,,,,N-34-50-C-d-4-1,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900969.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900969_N-34-50-C-d-4-1.tif,,SkorowidzOrtofomapy2019.900969.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,35,226101_1,JEW,Gdańsk - gmina miejska,68295.0,,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,0.0,,13136.0,2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,2763400.0,2.00162354083,2.00162353976,0.09450928201,ggs19wew,C:/Users/admin/Downloads/ggs19wew.gml
2,ggs19.12,SkorowidzOrtofomapy2019.900889,,,,,,,,,,,,,N-34-49-D-b-4-2,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900889.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900889_N-34-49-D-b-4-2.tif,,SkorowidzOrtofomapy2019.900889.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,35,226101_1,JEW,Gdańsk - gmina miejska,68295.0,,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,0.0,,13136.0,2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,2763400.0,2.00162354083,2.00162353976,0.09450928201,ggs19wew,C:/Users/admin/Downloads/ggs19wew.gml
3,ggs19.15,SkorowidzOrtofomapy2019.900943,,,,,,,,,,,,,N-34-50-C-a-3-3,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900943.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900943_N-34-50-C-a-3-3.tif,,SkorowidzOrtofomapy2019.900943.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,37,226101_1,JEW,Gdańsk - gmina miejska,68295.0,,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,0.0,,13136.0,2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,2763400.0,2.00162354083,2.00162353976,0.09450928201,ggs19wew,C:/Users/admin/Downloads/ggs19wew.gml
4,ggs19.16,SkorowidzOrtofomapy2019.900952,,,,,,,,,,,,,N-34-50-C-c-2-1,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900952.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900952_N-34-50-C-c-2-1.tif,,SkorowidzOrtofomapy2019.900952.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,40,226101_1,JEW,Gdańsk - gmina miejska,68295.0,,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,0.0,,13136.0,2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,2763400.0,2.00162354083,2.00162353976,0.09450928201,ggs19wew,C:/Users/admin/Downloads/ggs19wew.gml
5,ggs19.18,SkorowidzOrtofomapy2019.900958,,,,,,,,,,,,,N-34-50-C-c-4-1,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900958.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900958_N-34-50-C-c-4-1.tif,,SkorowidzOrtofomapy2019.900958.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,40,226101_1,JEW,Gdańsk - gmina miejska,68295.0,,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,0.0,,13136.0,2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,2763400.0,2.00162354083,2.00162353976,0.09450928201,ggs19wew,C:/Users/admin/Downloads/ggs19wew.gml
6,ggs19.19,SkorowidzOrtofomapy2019.900950,,,,,,,,,,,,,N-34-50-C-c-1-3,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900950.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900950_N-34-50-C-c-1-3.tif,,SkorowidzOrtofomapy2019.900950.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,34,226101_1,JEW,Gdańsk - gmina miejska,68295.0,,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,0.0,,13136.0,2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,2763400.0,2.00162354083,2.00162353976,0.09450928201,ggs19wew,C:/Users/admin/Downloads/ggs19wew.gml
7,ggs19.20,SkorowidzOrtofomapy2019.900968,,,,,,,,,,,,,N-34-50-C-d-3-2,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900968.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900968_N-34-50-C-d-3-2.tif,,SkorowidzOrtofomapy2019.900968.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,35,226101_1,JEW,Gdańsk - gmina miejska,68295.0,,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,0.0,,13136.0,2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,2763400.0,2.00162354083,2.00162353976,0.09450928201,ggs19wew,C:/Users/admin/Downloads/ggs19wew.gml
8,ggs19.21,SkorowidzOrtofomapy2019.900905,,,,,,,,,,,,,N-34-49-D-d-2-2,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900905.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900905_N-34-49-D-d-2-2.tif,,SkorowidzOrtofomapy2019.900905.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,36,226101_1,JEW,Gdańsk - gmina miejska,68295.0,,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,0.0,,13136.0,2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,2763400.0,2.00162354083,2.00162353976,0.09450928201,ggs19wew,C:/Users/admin/Downloads/ggs19wew.gml
9,ggs19.22,SkorowidzOrtofomapy2019.900891,,,,,,,,,,,,,N-34-49-D-b-4-4,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900891.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900891_N-34-49-D-b-4-4.tif,,SkorowidzOrtofomapy2019.900891.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,39,226101_1,JEW,Gdańsk - gmina miejska,68295.0,,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,0.0,,13136.0,2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,2763400.0,2.00162354083,2.00162353976,0.09450928201,ggs19wew,C:/Users/admin/Downloads/ggs19wew.gml
