gml_id,id,metadataproperty,description_href,description_title,description_nilreason,description,descriptionreference_href,descriptionreference_title,descriptionreference_nilreason,identifier_codespace,identifier,name,location_location,godlo,akt_rok,piksel,kolor,zrodlo_danych,uklad_xy,modul_archiwizacji,nr_zglosz,akt_data_frame,akt_data_id,akt_data_metadataproperty,akt_data_description_href,akt_data_description_title,akt_data_description_nilreason,akt_data_description,akt_data_descriptionreference_href,akt_data_descriptionreference_title,akt_data_descriptionreference_nilreason,akt_data_identifier_codespace,akt_data_identifier,akt_data_name,akt_data_relatedtime,akt_data_timeposition_frame,akt_data_timeposition_calendareraname,akt_data_timeposition_indeterminateposition,akt_data_timeposition,czy_ark_wypelniony,url_do_pobrania,dt_pzgik_frame,dt_pzgik_id,dt_pzgik_metadataproperty,dt_pzgik_description_href,dt_pzgik_description_title,dt_pzgik_description_nilreason,dt_pzgik_description,dt_pzgik_descriptionreference_href,dt_pzgik_descriptionreference_title,dt_pzgik_descriptionreference_nilreason,dt_pzgik_identifier_codespace,dt_pzgik_identifier,dt_pzgik_name,dt_pzgik_relatedtime,dt_pzgik_timeposition_frame,dt_pzgik_timeposition_calendareraname,dt_pzgik_timeposition_indeterminateposition,dt_pzgik_timeposition,wlk_pliku_mb,layer,path
metro19.0,SkorowidzOrtofomapy2019.900903,,,,,,,,,,,,,N-34-49-D-d-1-4,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900903.akt_data,,,,,,,,,,,,,,,,2019-05-30,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900903_N-34-49-D-d-1-4.tif,,SkorowidzOrtofomapy2019.900903.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,33,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.1,SkorowidzOrtofomapy2019.897629,,,,,,,,,,,,,N-34-62-A-b-1-3,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.897629.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73213/73213_897629_N-34-62-A-b-1-3.tif,,SkorowidzOrtofomapy2019.897629.dt_pzgik,,,,,,,,,,,,,,,,2020-02-10,36,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.2,SkorowidzOrtofomapy2019.900923,,,,,,,,,,,,,N-34-50-A-c-3-4,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900923.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900923_N-34-50-A-c-3-4.tif,,SkorowidzOrtofomapy2019.900923.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,38,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.3,SkorowidzOrtofomapy2019.897597,,,,,,,,,,,,,N-34-62-A-a-2-3,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.897597.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73213/73213_897597_N-34-62-A-a-2-3.tif,,SkorowidzOrtofomapy2019.897597.dt_pzgik,,,,,,,,,,,,,,,,2020-02-10,43,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.4,SkorowidzOrtofomapy2019.900956,,,,,,,,,,,,,N-34-50-C-c-3-1,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900956.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900956_N-34-50-C-c-3-1.tif,,SkorowidzOrtofomapy2019.900956.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,37,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.5,SkorowidzOrtofomapy2019.900809,,,,,,,,,,,,,N-34-49-B-d-4-2,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900809.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900809_N-34-49-B-d-4-2.tif,,SkorowidzOrtofomapy2019.900809.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,36,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.6,SkorowidzOrtofomapy2019.900922,,,,,,,,,,,,,N-34-50-A-c-3-3,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900922.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900922_N-34-50-A-c-3-3.tif,,SkorowidzOrtofomapy2019.900922.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,32,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.7,SkorowidzOrtofomapy2019.900964,,,,,,,,,,,,,N-34-50-C-d-2-1,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900964.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900964_N-34-50-C-d-2-1.tif,,SkorowidzOrtofomapy2019.900964.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,20,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.8,SkorowidzOrtofomapy2019.900946,,,,,,,,,,,,,N-34-50-C-a-4-3,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900946.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900946_N-34-50-C-a-4-3.tif,,SkorowidzOrtofomapy2019.900946.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,36,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.9,SkorowidzOrtofomapy2019.900865,,,,,,,,,,,,,N-34-49-D-a-2-2,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900865.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900865_N-34-49-D-a-2-2.tif,,SkorowidzOrtofomapy2019.900865.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,36,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
